Class,AP
0,0.7122867719143192
1,0.6164855484639559
2,0.8689786098522917
3,0.6455706543054806
4,0.8004484839189161
5,0.6053918039916333
6,0.6419446084989805
7,0.620735947683093
8,0.7501595518099157
9,0.8106840497482503
10,0.7480921152393198
11,0.6141334715449932
12,0.5553892868251666
13,0.7358313759826247
14,0.39790518993859036
15,0.5663549746407707
16,0.423961717716346
17,0.6439343530914861
18,0.5141217647168644
19,0.7717985230532837
20,0.49881265388139995
21,0.7631514049266611
22,0.39505495023204074
23,0.6903888835733138
24,0.7127375051222803
25,0.3260052214768622
26,0.6216645359426675
27,0.8480413849911668
28,0.6317672069336052
29,0.5697396190607446
30,0.8282478277696289
31,0.7053999566413927
32,0.889429888017934
33,0.7892137422190836
34,0.762553914403321
35,0.6969539086963148
36,0.9242588753097379
37,0.6391791814739277
38,0.8281690718246464
39,0.8124259623356184
40,0.8144445719585772
41,0.5246023497424656
42,0.740948063738095
43,0.5587067759853345
44,0.8353108887703977
45,0.9686354209808298
46,0.5957587159250975
47,0.9642600390457173
48,0.8061312133303065
49,0.6899509792120349
50,0.8065872015043317
51,0.952791320042893
52,0.896738938903213
53,0.9738759274897806
54,0.8849377759428156
55,0.9722187697996383
56,0.657861580364211
57,0.5838559052009634
58,0.9957098959727796
59,0.8322147669852247
60,0.9209400857590706
61,0.8332001943245452
62,0.8921707812707026
