Variant,mAP,F1,Precision,Recall
Baseline,0.89940360560012,0.34999276725010847,0.21226477168048427,0.9967044284243048
Fusion,0.89940360560012,0.34999276725010847,0.21226477168048427,0.9967044284243048
Graph,0.9178405580751735,0.35035440474468393,0.21248409878492786,0.9977342945417096
Graph + Residual Random Walk Propagation,0.9317961663718782,0.4620972566447312,0.3016962392590113,0.9866788321167883
