Variant,mAP,F1,Precision,Recall
Baseline,0.9069170437287779,0.4603025382445945,0.3005244950340364,0.9828467153284671
Fusion,0.9069170437287779,0.4603025382445945,0.3005244950340364,0.9828467153284671
Graph,0.9368988337102349,0.4623536449876079,0.3018636312911505,0.9872262773722628
Graph + Residual Random Walk Propagation,0.9317961663718782,0.4620972566447312,0.3016962392590113,0.9866788321167883
