Class,AP
0,0.9908337522870161
1,0.9867764646177573
2,0.9791075525830046
3,0.9998412667057972
4,0.928584397662687
5,0.990514730287028
6,0.9800077687350374
7,0.9920712807141698
8,0.9657188232772608
9,0.9190070534164199
10,0.9988890449516978
11,0.9873690386660783
12,0.9539498641393236
13,0.9978768706244768
14,0.9898608028796682
15,0.9966080734923896
16,0.9670681303305269
17,0.9217029726965061
18,0.9114654343730287
19,0.9992811929680212
20,0.9887864130530085
21,0.9972192801047782
22,0.9843984455695609
23,0.9976235267017315
24,0.9964596469430218
25,0.991208810055189
26,0.9788938278951846
27,0.9816926744563808
28,0.9789562837666334
29,0.9934333083805504
30,0.9982490565625857
31,0.9417026935716465
