Variant,mAP,F1,Precision,Recall
Baseline,0.6756107986350116,0.21794595388052238,0.1252834646499805,0.8370388640287516
Fusion,0.6756107986350116,0.21794595388052238,0.1252834646499805,0.8370388640287516
Graph,0.7303389793581138,0.22331295097683934,0.12836861479395417,0.8576512455516014
Graph + Residual Random Walk Propagation,0.7250675660320263,0.22410194542176798,0.12882215823392293,0.8606814418096614
