Variant,mAP,F1,Precision,Recall
Baseline,0.8406345873135791,0.31892401267883147,0.1904226043723338,0.9807682175035566
Fusion,0.8406345873135791,0.31892401267883147,0.1904226043723338,0.9807682175035566
Graph,0.8525684268340468,0.3289023927079377,0.1975700339558574,0.9810316665788503
Graph + Residual Random Walk Propagation,0.8487830983257462,0.33206174908196373,0.19983479408262442,0.981505874914379
