Variant,mAP,F1,Precision,Recall
Baseline,0.936318921588235,0.4686968797718171,0.3074345180351001,0.9857800759473216
Fusion,0.936318921588235,0.4686968797718171,0.3074345180351001,0.9857800759473216
Graph,0.9277037570335026,0.4714496604664895,0.31164775684396795,0.9676011957663407
Graph + Residual Random Walk Propagation,0.9368111657623833,0.48116222187154806,0.31828857746809675,0.985416498343702
