Variant,mAP,F1,Precision,Recall
Baseline,0.9671875391569902,0.5244417949273792,0.3556413083425211,0.9982463379409944
Fusion,0.9671875391569902,0.5244417949273792,0.3556413083425211,0.9982463379409944
Graph,0.9608893492409337,0.5293554504114734,0.3614365446500402,0.9886871604428856
Graph + Residual Random Walk Propagation,0.9658573126406818,0.5350879623216512,0.36578159918184916,0.9961832061068703
