Variant,mAP,F1,Precision,Recall
Baseline,0.9217714420172981,0.39601947361548934,0.24739276850114778,0.9919637434004579
Fusion,0.9217714420172981,0.39601947361548934,0.24739276850114778,0.9919637434004579
Graph,0.927563963711952,0.4014783447076394,0.25165005747058333,0.9922440779330001
Graph + Residual Random Walk Propagation,0.9268041841328003,0.40297021252382714,0.2527961543953167,0.9926645797318133
