Class,AP,Samples
0,,0.0
1,0.9019060623648902,571.0
2,,0.0
3,0.9677703636637145,2341.0
4,,0.0
5,0.9433327622481016,751.0
6,0.9440178751911288,663.0
7,,0.0
8,0.9634490373463337,271.0
9,0.9962325720686775,1287.0
10,0.991874263270963,1502.0
11,,0.0
12,0.9087084845374326,1261.0
13,,0.0
14,0.7689194821585266,1651.0
15,0.8276275592237647,541.0
16,0.8796822914718258,4081.0
17,,0.0
18,0.9235243738692809,1201.0
19,,0.0
20,0.9733877818766787,2311.0
21,,0.0
22,0.9848256685678858,2971.0
