Class,AP,Samples
0,,0.0
1,,0.0
2,,0.0
3,,0.0
4,,0.0
5,0.995343740634907,541.0
6,0.9976177690092609,301.0
7,,0.0
8,,0.0
9,,0.0
10,,0.0
11,,0.0
12,0.9901009987392051,4441.0
13,,0.0
14,0.9956258142116701,2311.0
15,,0.0
16,,0.0
17,,0.0
18,,0.0
19,,0.0
20,,0.0
21,,0.0
22,,0.0
23,0.9892886087607601,4532.0
24,0.98747333393827,391.0
25,,0.0
26,,0.0
27,,0.0
28,,0.0
29,,0.0
30,0.9838078479386302,451.0
31,0.9157266424658725,812.0
