Class,AP,Samples
0,0.8421637256608734,1411.0
1,,0.0
2,0.7663642621276587,391.0
3,0.6212748270421341,751.0
4,,0.0
5,0.6904763791881541,722.0
6,0.9113133274029059,332.0
7,,0.0
8,0.9988718070009464,151.0
9,0.9793254982893901,871.0
10,0.8556185666794638,543.0
11,,0.0
12,0.8696561753344152,6301.0
13,,0.0
14,,0.0
15,,0.0
16,,0.0
17,0.7628452434498957,2431.0
18,0.9124277657785861,722.0
19,0.9951810946496142,1021.0
20,,0.0
21,0.7992775864054673,691.0
22,,0.0
23,0.7386514082710806,691.0
24,0.9355312783136388,421.0
25,,0.0
26,,0.0
27,,0.0
28,0.7740598644157155,571.0
29,0.9991670268391664,777.0
30,,0.0
31,0.8258899330143233,181.0
