Class,AP,Samples
0,,0.0
1,,0.0
2,,0.0
3,0.9952040048833647,4951.0
4,,0.0
5,,0.0
6,0.9680674124093811,451.0
7,,0.0
8,,0.0
9,,0.0
10,0.7684201658612395,691.0
11,,0.0
12,0.9113072831524933,2492.0
13,,0.0
14,,0.0
15,,0.0
16,,0.0
17,0.9008667336816216,2551.0
18,0.9837418715603414,6362.0
19,,0.0
20,,0.0
21,,0.0
22,0.9718398413892433,1681.0
23,0.9986184026815891,5371.0
24,,0.0
25,,0.0
26,,0.0
27,,0.0
28,,0.0
29,,0.0
30,,0.0
31,0.9332347762421762,204.0
